Word,Score,Emotion
I,-0.04437114764004946,😢
haven't,-0.07531681057298556,😢
heard,-0.035363051283638924,😢
back,-0.16203107114415616,😢
from,-0.2165137751144357,😢
my,-0.3060872783244122,😢
son,-0.3935895408503711,😢
for,-0.3727313901181333,😢
a,-0.41421818907838315,😢
few,-0.531740412930958,😢
"weeks,",-0.5410302843665704,😢
I,-0.4943348102970049,😢
also,-0.5370706882094964,😢
want,-0.2823999000247568,😢
to,-0.2547183632850647,😢
let,-0.37123754213098437,😢
him,-0.38163317972794175,😢
call,-0.3400822258554399,😢
me,-0.36044511408545077,😢
"first,",-0.30652289115823805,😢
what,-0.1805090222042054,😢
should,-0.22338609490543604,😢
I,-0.24007983971387148,😢
do?,-0.25640298589132726,😢
