Word,Score,Emotion
My,0.011523663066327572,😀
son,0.12277342798188329,😀
just,-0.026385821402072906,😢
Graduated,0.2523324601352215,😀
from,0.18587245792150497,😀
"Berkeley,",0.19156725332140923,😀
I,0.20513580366969109,😀
am,0.2388349324464798,😀
so,0.14074212312698364,😀
excited,0.5891219861805439,😀
to,0.5734028117731214,😀
see,0.6497320467606187,😀
"him,",0.6903360793367028,😀
what,0.6672353930771351,😀
should,0.6630970854312181,😀
I,0.5857095755636692,😀
buy,0.6559758130460978,😀
for,0.675403339555487,😀
his,0.6416986146941781,😀
graduation,0.6046718908473849,😀
gift?,0.5773384035564959,😀
